scenario,battlefieldId,waveNumber,actualSpawnCount,spawningStartTick,spawningEndTick,deaths,leaks,peakConcurrentMonsterCount,peakPlayerSentOverlap,peakTotalBattlefieldPressure
none-vs-normal-ai,lane_p2,1,3,61,103,3,0,3,0,3
none-vs-normal-ai,lane_p2,2,3,261,303,3,0,3,0,3
none-vs-normal-ai,lane_p2,3,3,461,503,3,0,3,0,3
none-vs-normal-ai,lane_p2,4,4,661,724,4,0,4,0,4
normal-ai-vs-none,lane_p1,1,3,61,103,0,3,3,0,3
normal-ai-vs-none,lane_p1,2,3,261,303,0,3,3,0,3
normal-ai-vs-none,lane_p1,3,3,461,503,0,3,3,0,3
normal-ai-vs-none,lane_p1,4,4,661,724,0,0,4,0,4
normal-ai-vs-none,lane_p2,1,3,61,103,0,3,3,0,3
normal-ai-vs-none,lane_p2,2,3,261,303,0,3,3,0,3
normal-ai-vs-none,lane_p2,3,3,461,503,0,3,3,0,3
normal-ai-vs-none,lane_p2,4,4,661,724,0,0,4,0,4
normal-ai-vs-normal-ai,lane_p1,1,3,61,103,0,3,3,0,3
normal-ai-vs-normal-ai,lane_p1,2,3,261,303,0,3,3,0,3
normal-ai-vs-normal-ai,lane_p1,3,3,461,503,0,3,3,0,3
normal-ai-vs-normal-ai,lane_p1,4,4,661,724,0,0,4,0,4
normal-ai-vs-normal-ai,lane_p2,1,3,61,103,3,0,3,0,3
normal-ai-vs-normal-ai,lane_p2,2,3,261,303,3,0,3,0,3
normal-ai-vs-normal-ai,lane_p2,3,3,461,503,3,0,3,0,3
normal-ai-vs-normal-ai,lane_p2,4,4,661,724,4,0,4,0,4
none-vs-none,lane_p1,1,3,61,103,0,3,3,0,3
none-vs-none,lane_p1,2,3,261,303,0,3,3,0,3
none-vs-none,lane_p1,3,3,461,503,0,3,3,0,3
none-vs-none,lane_p1,4,4,661,724,0,0,4,0,4
none-vs-none,lane_p2,1,3,61,103,0,3,3,0,3
none-vs-none,lane_p2,2,3,261,303,0,3,3,0,3
none-vs-none,lane_p2,3,3,461,503,0,3,3,0,3
none-vs-none,lane_p2,4,4,661,724,0,0,4,0,4
none-vs-normal-ai,lane_p1,1,3,61,103,0,3,3,0,3
none-vs-normal-ai,lane_p1,2,3,261,303,0,3,3,0,3
none-vs-normal-ai,lane_p1,3,3,461,503,0,3,3,0,3
none-vs-normal-ai,lane_p1,4,4,661,724,0,0,4,0,4
none-vs-normal-ai,lane_p2,1,3,61,103,3,0,3,0,3
none-vs-normal-ai,lane_p2,2,3,261,303,3,0,3,0,3
none-vs-normal-ai,lane_p2,3,3,461,503,3,0,3,0,3
none-vs-normal-ai,lane_p2,4,4,661,724,4,0,4,0,4
normal-ai-vs-none,lane_p1,1,3,61,103,0,3,3,0,3
normal-ai-vs-none,lane_p1,2,3,261,303,0,3,3,0,3
normal-ai-vs-none,lane_p1,3,3,461,503,0,3,3,0,3
normal-ai-vs-none,lane_p1,4,4,661,724,0,0,4,0,4
normal-ai-vs-none,lane_p2,1,3,61,103,0,3,3,0,3
normal-ai-vs-none,lane_p2,2,3,261,303,0,3,3,0,3
normal-ai-vs-none,lane_p2,3,3,461,503,0,3,3,0,3
normal-ai-vs-none,lane_p2,4,4,661,724,0,0,4,0,4
